Employee ID,Gender,Age,Department,Job Role,Date of Joining,Salary (BGN),Performance Rating,Absenteeism Rate,Engagement Score,Education Level,Years in Current Role,Years at Company,Promotion in Last 2 Years,Overtime Hours per Week,Training Hours per Year,Office Location,Bonus Received in Last Year
3836,Male,47,Wealth Management,Portfolio Manager,11/27/2011,2500,2,0.46,2.1,Master's,4,12,Yes,11,66,Ruse,No
4597,Male,52,Corporate Banking,Business Development Manager,3/30/2013,5100,3,0.14,3.5,Bachelor's,5,11,No,13,32,Varna,Yes
8941,Female,29,Business Transformation,Business Analyst,2/28/2010,5100,3,0.06,2.1,Master's,6,14,No,3,33,Sofia,Yes
4702,Male,32,Retail Banking,Personal Banker,04/11/2021,7400,4,0.07,4.1,High School,1,3,No,16,21,Burgas,No
3593,Male,58,Operations,Operations Analyst,06/09/2010,4800,2,0.28,1.8,PhD,6,14,No,16,10,Plovdiv,No
8222,Male,55,Digital Banking,Online Banking Manager,3/23/2016,3600,2,0.2,1.8,Master's,8,8,Yes,8,14,Plovdiv,No
1783,Female,27,Legal,Legal Advisor,5/15/2016,4600,2,0.32,2,PhD,7,8,No,1,10,Varna,Yes
3951,Male,23,Sales,Sales Consultant,12/30/2011,8900,4,0.18,4.9,High School,1,12,Yes,10,46,Burgas,Yes
6506,Male,28,Legal,Legal Advisor,10/02/2010,6200,5,0.01,5,Master's,2,14,Yes,8,37,Burgas,Yes
8654,Female,39,Digital Banking,Digital Product Manager,12/11/2010,8900,5,0.13,5,Bachelor's,2,13,No,7,56,Ruse,Yes
4353,Male,35,Internal Audit,Internal Auditor,4/22/2020,8100,2,0.26,2.2,Bachelor's,5,4,No,3,42,Varna,Yes
4225,Female,58,Risk Management,Risk Consultant,01/03/2011,7400,2,0.48,2,Master's,3,13,Yes,11,38,Sofia,Yes
3553,Male,50,Human Resources,HR Manager,9/27/2020,5200,1,0.41,1.3,Master's,1,4,No,17,79,Burgas,Yes
2927,Female,39,IT,IT Manager,12/09/2019,2400,2,0.22,1.7,Master's,9,4,No,10,58,Plovdiv,No
1415,Female,28,Fraud Prevention,Fraud Prevention Manager,9/24/2018,2700,1,0.39,1.7,PhD,3,6,No,10,41,Ruse,Yes
2890,Female,34,Security,Security Analyst,11/06/2023,7000,1,0.46,1,Master's,5,0,No,14,1,Sofia,No
8108,Female,57,Human Resources,HR Manager,4/25/2010,8700,5,0.03,5,Bachelor's,1,14,Yes,2,31,Ruse,Yes
2597,Female,36,Compliance,Regulatory Officer,10/21/2009,5600,3,0.07,3.1,PhD,3,14,No,1,16,Ruse,No
3737,Female,38,Finance,Accountant,7/23/2018,7000,4,0.04,4.6,Bachelor's,2,6,Yes,17,55,Varna,No
2686,Female,49,Collection,Collection Manager,1/23/2010,4400,1,0.36,1.2,PhD,8,14,No,8,0,Burgas,Yes
8457,Female,37,Retail Banking,Relationship Manager,5/13/2017,5900,2,0.42,2.3,Bachelor's,7,7,Yes,8,70,Varna,Yes
7300,Female,34,Digital Banking,Digital Product Manager,10/27/2017,5800,1,0.31,1,PhD,7,6,No,4,21,Ruse,Yes
4719,Female,56,Collection,Collection Manager,10/26/2010,1400,1,0.43,1,Master's,2,13,No,2,56,Ruse,Yes
6923,Male,59,Trade Finance,Trade Analyst,03/09/2021,4700,4,0.02,3.7,Bachelor's,1,3,No,9,61,Sofia,Yes
1902,Female,49,Wealth Management,Investment Banker,03/07/2014,8400,5,0.18,5,Bachelor's,3,10,Yes,18,34,Varna,Yes
4150,Female,36,Digital Banking,Digital Banking Specialist,4/25/2015,8100,4,0.04,4.2,High School,2,9,Yes,14,75,Varna,No
3582,Female,24,IT,IT Manager,03/04/2014,5800,3,0.09,2.9,Master's,1,10,No,4,75,Sofia,Yes
1121,Male,57,Customer Support,Technical Support Specialist,8/18/2019,3400,1,0.31,1.2,Bachelor's,1,5,No,0,64,Burgas,No
2095,Male,39,Operations,Data Entry Clerk,11/06/2013,5800,3,0.09,2.9,Bachelor's,3,10,No,18,74,Ruse,No
8030,Female,44,IT,IT Manager,12/16/2021,4900,3,0.09,3.4,High School,4,2,No,2,26,Varna,Yes
6888,Male,34,Security,Security Officer,11/23/2010,4600,2,0.21,2.4,Master's,3,13,No,3,63,Plovdiv,Yes
6155,Female,29,Business Transformation,Project Manager,6/30/2011,5600,5,0.14,4,Bachelor's,1,13,No,16,13,Burgas,No
1992,Male,37,Back Office,Administrative Assistant,5/17/2022,9900,5,0.08,4.4,High School,3,2,Yes,7,4,Ruse,Yes
6117,Male,49,Treasury,Treasury Manager,10/11/2015,2400,1,0.48,1,Bachelor's,9,8,No,1,72,Varna,No
4090,Female,41,Product Management,Product Development Specialist,12/03/2011,5000,3,0.09,2.7,Master's,6,12,No,7,33,Ruse,No
3146,Female,53,Legal,Legal Advisor,3/27/2021,6000,2,0.34,1.5,Master's,8,3,No,17,57,Plovdiv,Yes
3287,Female,28,Marketing,Marketing Manager,1/31/2014,6700,5,0.03,5,High School,3,10,Yes,1,17,Varna,No
4541,Male,23,Trade Finance,Trade Analyst,6/15/2021,3600,1,0.27,1,PhD,6,3,Yes,15,29,Sofia,No
3503,Female,46,Collection,Collection Agent,12/13/2009,5500,2,0.39,2.8,Bachelor's,5,14,No,0,9,Varna,Yes
3917,Female,59,Sales,Sales Manager,09/02/2018,10100,5,0.12,5,PhD,3,6,No,1,18,Ruse,Yes
5796,Female,26,Loan Servicing,Loan Processor,11/16/2012,5600,2,0.27,2.3,Bachelor's,7,11,No,6,0,Plovdiv,No
1769,Male,44,Human Resources,HR Manager,09/09/2023,3200,1,0.39,1,PhD,9,1,No,17,53,Ruse,No
1599,Female,41,Legal,Corporate Lawyer,5/18/2023,3900,3,0.04,3.9,PhD,3,1,No,17,44,Burgas,No
9903,Female,32,Security,Security Officer,9/14/2024,3900,2,0.21,1.7,Master's,9,0,No,11,74,Burgas,No
9618,Female,44,Operations,Back Office Specialist,12/08/2013,5200,3,0.08,2.2,PhD,2,10,No,18,34,Varna,Yes
1036,Female,53,IT,IT Manager,5/21/2011,2400,1,0.46,1,High School,1,13,No,9,49,Varna,No
1736,Female,45,Back Office,Administrative Assistant,10/28/2009,6500,5,0.2,4.9,Master's,1,14,Yes,13,55,Ruse,Yes
9523,Male,25,Product Management,Product Manager,3/16/2018,6600,2,0.22,3,Bachelor's,9,6,Yes,2,26,Burgas,Yes
1365,Female,53,Security,Cybersecurity Specialist,1/19/2015,6100,3,0.09,2.9,High School,3,9,Yes,16,77,Burgas,No
